Var,VarName,VarDesc,VarCat1,VarCat2,VarCat3,VarCat4,VarCat5,VarCat6
MUSE_Volume_431,OCCIPITAL_GM_R,OCCIPITAL_GM_R,MUSEROI,,Derived,,,
MUSE_Volume_432,OCCIPITAL_WM_R,OCCIPITAL_WM_R,MUSEROI,,Derived,,,
MUSE_Volume_433,PARIETAL_GM_R,PARIETAL_GM_R,MUSEROI,,Derived,,,
MUSE_Volume_434,PARIETAL_WM_R,PARIETAL_WM_R,MUSEROI,,Derived,,,
MUSE_Volume_435,TEMPORAL_GM_R,TEMPORAL_GM_R,MUSEROI,,Derived,,,
MUSE_Volume_436,TEMPORAL_WM_R,TEMPORAL_WM_R,MUSEROI,,Derived,,,
MUSE_Volume_501,CORPUS_CALLOSUM,CORPUS_CALLOSUM,MUSEROI,,Derived,,,
MUSE_Volume_502,Cerebellum,Cerebellum,MUSEROI,,Derived,,,
MUSE_Volume_503,DeepStructures,DeepStructures,MUSEROI,,Derived,,,
MUSE_Volume_504,FRONTAL,FRONTAL,MUSEROI,,Derived,,,
MUSE_Volume_505,LIMBIC,LIMBIC,MUSEROI,,Derived,,,
MUSE_Volume_506,OCCIPITAL,OCCIPITAL,MUSEROI,,Derived,,,
MUSE_Volume_507,PARIETAL,PARIETAL,MUSEROI,,Derived,,,
MUSE_Volume_508,TEMPORAL,TEMPORAL,MUSEROI,,Derived,,,
MUSE_Volume_509,VENTRICLE,VENTRICLE,MUSEROI,MainROI,Derived,,,
MUSE_Volume_510,Cerebellum_L,Cerebellum_L,MUSEROI,,Derived,,,
MUSE_Volume_511,DeepStructures_L,DeepStructures_L,MUSEROI,,Derived,,,
MUSE_Volume_512,FRONTAL_L,FRONTAL_L,MUSEROI,,Derived,,,
MUSE_Volume_513,LIMBIC_L,LIMBIC_L,MUSEROI,,Derived,,,
MUSE_Volume_514,OCCIPITAL_L,OCCIPITAL_L,MUSEROI,,Derived,,,
MUSE_Volume_515,PARIETAL_L,PARIETAL_L,MUSEROI,,Derived,,,
MUSE_Volume_516,TEMPORAL_L,TEMPORAL_L,MUSEROI,,Derived,,,
MUSE_Volume_517,VENTRICLE_L,VENTRICLE_L,MUSEROI,,Derived,,,
MUSE_Volume_518,Cerebellum_R,Cerebellum_R,MUSEROI,,Derived,,,
MUSE_Volume_519,DeepStructures_R,DeepStructures_R,MUSEROI,,Derived,,,
MUSE_Volume_520,FRONTAL_R,FRONTAL_R,MUSEROI,,Derived,,,
MUSE_Volume_521,LIMBIC_R,LIMBIC_R,MUSEROI,,Derived,,,
MUSE_Volume_522,OCCIPITAL_R,OCCIPITAL_R,MUSEROI,,Derived,,,
MUSE_Volume_523,PARIETAL_R,PARIETAL_R,MUSEROI,,Derived,,,
MUSE_Volume_524,TEMPORAL_R,TEMPORAL_R,MUSEROI,,Derived,,,
MUSE_Volume_525,VENTRICLE_R,VENTRICLE_R,MUSEROI,,Derived,,,
MUSE_Volume_601,GM,GM,MUSEROI,MainROI,Derived,,,
MUSE_Volume_604,WM,WM,MUSEROI,MainROI,Derived,,,
MUSE_Volume_606,GM_L,GM_L,MUSEROI,,Derived,,,
MUSE_Volume_607,WM_L,WM_L,MUSEROI,,Derived,,,
MUSE_Volume_613,GM_R,GM_R,MUSEROI,,Derived,,,
MUSE_Volume_614,WM_R,WM_R,MUSEROI,,Derived,,,
MUSE_Volume_701,TOTALBRAIN,TOTALBRAIN,MUSEROI,MainROI,Derived,,,
MUSE_Volume_702,ICV,ICV,MUSEROI,MainROI,Derived,,,
